model,dataset,accuracy,precision,recall,f1,auc
SVM,Val,1.0,1.0,1.0,1.0,1.0
SVM,Test,0.7836538461538461,0.7456647398843931,0.9923076923076923,0.8514851485148515,0.9355358316896778
Random Forest,Val,1.0,1.0,1.0,1.0,1.0
Random Forest,Test,0.7403846153846154,0.7111111111111111,0.9846153846153847,0.8258064516129032,0.8955182993644532
